,node,category
188,17452552,proukr
189,17471611,proukr
190,17509107,pax
191,17537020,proukr
192,17561023,proukr
193,17569440,proukr
194,17612969,pax
195,17647289,proukr
196,17652526,proukr
197,17656886,proukr
198,17686959,proukr
199,17691427,proukr
200,17734639,dontcare
201,17741346,proukr
202,17746695,pax
203,17751072,proukr
204,17755700,pax
205,17797650,proukr
206,17810707,proukr
207,17822006,proukr
208,17908607,proukr
209,17954631,proukr
210,17961813,proukr
211,17972974,proukr
212,18002731,prorus
213,18029310,proukr
214,18033503,pax
215,18037002,proukr
216,18058085,proukr
217,18060010,proukr
218,18080347,proukr
219,18109429,pax
220,18195001,pax
221,18197948,proukr
222,18203422,pax
223,18244332,proukr
224,18272853,proukr
225,18302410,pax
226,18348346,proukr
227,18359715,proukr
228,18379358,pax
229,18427567,prorus
230,18471312,proukr
231,18481086,pax
232,18495916,proukr
233,18514141,proukr
234,18530932,proukr
235,18540174,pax
236,18542632,prorus
237,18583397,proukr
238,18600732,prorus
239,18604202,dontcare
240,18684946,proukr
241,18685355,proukr
242,18725885,prorus
243,18811949,proukr
244,18838712,proukr
245,18846717,pax
246,18868110,proukr
247,18895019,pax
248,18954472,proukr
249,19051983,proukr
250,19077019,dontcare
251,19081489,proukr
252,19088288,proukr
253,19121806,proukr
254,19162910,pax
255,19170412,proukr
256,19181564,pax
257,19214412,proukr
258,19231073,proukr
259,19238527,proukr
260,19284888,proukr
261,19335456,proukr
262,19386774,pax
263,19399022,proukr
264,19409634,proukr
265,19418649,proukr
266,19440391,proukr
267,19449143,proukr
268,19465759,proukr
269,19492635,proukr
270,19608199,proukr
271,19654085,dontcare
272,19734438,proukr
273,19735514,pax
274,19762424,dontcare
275,19765553,dontcare
276,19805682,proukr
277,19816563,proukr
278,19819827,proukr
279,19830107,proukr
280,19868130,proukr
281,19907134,dontcare
282,19919876,pax
283,19968144,proukr
284,19971109,proukr
285,20031049,pax
286,20054932,proukr
287,20061929,proukr
288,20095305,pax
289,20104862,proukr
290,20149325,proukr
291,20157199,proukr
292,20185144,proukr
293,20255638,proukr
294,20263955,proukr
295,20311009,proukr
296,20314692,pax
297,20340604,pax
298,20423769,proukr
299,20466226,proukr
300,20471224,dontcare
301,20473964,proukr
302,20476235,proukr
303,20478618,prorus
304,20479891,pax
305,20488455,pax
306,20509794,dontcare
307,20565828,proukr
308,20587289,pax
309,20624058,proukr
310,20646382,proukr
311,20697111,proukr
312,20728264,proukr
313,20768602,proukr
314,20770251,pax
315,20796457,pax
316,20836265,proukr
317,20862590,proukr
318,20895558,proukr
319,20911915,proukr
320,20919324,proukr
321,20964739,dontcare
322,20993014,proukr
323,21015322,proukr
324,21036796,proukr
325,21186562,proukr
326,21218734,proukr
327,21257603,proukr
328,21349439,pax
329,21430872,pax
330,21445423,proukr
331,21458404,proukr
332,21474305,proukr
333,21483883,proukr
334,21495530,pax
335,21551984,proukr
336,21567649,proukr
337,21581640,proukr
338,21610128,prorus
339,21657066,proukr
340,21679538,pax
341,21691327,proukr
342,21694393,proukr
343,21697689,proukr
344,21754958,prorus
345,21764166,proukr
346,21799910,pax
347,21839925,pax
348,21883255,proukr
349,21884679,proukr
350,21926764,pax
351,21930807,proukr
352,21943486,proukr
353,22019015,proukr
354,22041669,pax
355,22064251,proukr
356,22075159,proukr
357,22108226,proukr
358,22149904,prorus
359,22222414,dontcare
360,22274126,proukr
361,22307579,pax
362,22313958,pax
363,22330313,proukr
364,22344938,proukr
365,22365812,pax
366,22388211,proukr
367,22407417,proukr
368,22417080,proukr
369,22439048,prorus
370,22505527,proukr
371,22518618,proukr
372,22531716,proukr
373,22539487,prorus
374,22555523,proukr
375,22631085,proukr
376,22647819,proukr
377,22648912,proukr
378,22659416,prorus
379,22707692,pax
380,22773951,proukr
381,22797431,proukr
382,22801237,proukr
383,22803269,proukr
384,22818501,proukr
385,22831232,proukr
386,22846618,proukr
387,22858466,proukr
388,22875032,proukr
389,22881550,proukr
390,22885743,proukr
391,22886404,proukr
392,22899379,proukr
393,22937640,proukr
394,22996614,proukr
395,23048760,proukr
396,23102114,pax
397,23118582,proukr
398,23123835,prorus
399,23185764,proukr
400,23231174,proukr
401,23238859,proukr
402,23284066,pax
403,23429613,proukr
404,23433087,proukr
405,23459423,proukr
406,23506717,proukr
407,23574334,proukr
408,23575409,prorus
409,23647466,proukr
410,23648881,proukr
411,23676043,pax
412,23685118,proukr
413,23709095,pax
414,23763190,proukr
415,23864422,proukr
416,23871907,proukr
417,23878825,dontcare
418,23885166,proukr
419,23930673,proukr
420,23937235,proukr
421,23996107,proukr
422,24021806,proukr
423,24040718,proukr
424,24056744,pax
425,24069742,pax
426,24182196,proukr
427,24196746,proukr
428,24224086,proukr
429,24227450,dontcare
430,24235281,pax
431,24237749,proukr
432,24260706,pax
433,24291857,pax
434,24296541,prorus
435,24346486,proukr
436,24403753,proukr
437,24516826,proukr
438,24606381,proukr
439,24639503,dontcare
440,24692175,pax
441,24735229,proukr
442,24745185,proukr
443,24791810,proukr
444,24802603,pax
445,24866195,proukr
446,24867383,proukr
447,24880295,proukr
448,24882986,proukr
449,24912288,proukr
450,24974998,pax
451,25065466,pax
452,25113881,proukr
453,25197788,proukr
454,25210758,proukr
455,25268373,proukr
456,25323909,proukr
457,25353226,proukr
458,25398204,proukr
459,25413947,proukr
460,25470319,proukr
461,25499975,pax
462,25520577,proukr
463,25554266,pax
464,25571567,proukr
465,25661441,prorus
466,25682196,pax
467,25706772,pax
468,25714189,pax
469,25735821,proukr
470,25764782,prorus
471,25781702,proukr
472,25785889,proukr
473,25816723,proukr
474,25896141,proukr
475,26020832,pax
476,26071765,proukr
477,26122014,proukr
478,26231140,proukr
479,26261563,proukr
480,26284165,pax
481,26335316,proukr
482,26379026,dontcare
483,26443215,proukr
484,26513017,pax
485,26555873,prorus
486,26613501,dontcare
487,26673789,pax
488,26733146,proukr
489,26748382,proukr
490,26822945,proukr
491,26901657,dontcare
492,26945850,proukr
493,26994187,proukr
494,27052060,proukr
495,27182393,proukr
496,27189424,pax
497,27271665,pax
498,27379130,dontcare
499,27399921,proukr
500,27493883,proukr
501,27632768,proukr
502,27635954,proukr
503,27677391,dontcare
504,27727171,proukr
505,27777747,dontcare
506,27819475,proukr
507,27857135,proukr
508,27873469,pax
509,27896225,proukr
510,27937260,proukr
511,28089569,proukr
512,28097613,proukr
513,28106696,proukr
514,28186041,proukr
515,28278888,proukr
516,28427434,proukr
517,28437034,proukr
518,28499318,proukr
519,28549662,proukr
520,28595549,proukr
521,28605143,proukr
522,28673553,proukr
523,28803986,proukr
524,28817015,proukr
525,28824105,proukr
526,28830796,dontcare
527,28861604,proukr
528,28912098,proukr
529,28912519,proukr
530,29019934,proukr
531,29037126,proukr
532,29083775,pax
533,29170877,proukr
534,29286367,pax
535,29421688,pax
536,29728444,dontcare
537,29744014,proukr
538,29747246,proukr
539,29875219,proukr
540,29973860,proukr
541,30030404,pax
542,30071264,proukr
543,30095294,proukr
544,30112633,prorus
545,30119049,proukr
546,30205322,proukr
547,30212310,proukr
548,30268206,pax
549,30294619,proukr
550,30423511,proukr
551,30447502,pax
552,30488835,proukr
553,30498550,proukr
554,30528686,proukr
555,30585720,proukr
556,30586620,proukr
557,30719754,proukr
558,30722585,proukr
559,30779596,pax
560,30842039,dontcare
561,30874173,proukr
562,30892621,pax
563,30921004,proukr
564,30923981,prorus
565,30975246,pax
566,31077930,proukr
567,31097817,pax
568,31140265,proukr
569,31264273,proukr
570,31300038,proukr
571,31342932,proukr
572,31442310,proukr
573,31451307,proukr
574,31569066,proukr
575,31698478,prorus
576,31771149,proukr
577,31949738,pax
578,31994671,pax
579,32165709,proukr
580,32206125,proukr
581,32273235,proukr
582,32326358,pax
583,32382705,pax
584,32399655,proukr
585,32409320,proukr
586,32417688,proukr
587,32539175,proukr
588,32640164,proukr
589,32672078,pax
590,32747056,pax
591,32750042,proukr
592,32768450,proukr
593,32826334,pax
594,32826520,pax
595,32839217,proukr
596,32850576,proukr
597,32894225,dontcare
598,32920518,proukr
599,32935077,proukr
600,33175033,prorus
601,33221250,proukr
602,33243589,pax
603,33265297,proukr
604,33365734,proukr
605,33378910,proukr
606,33418037,proukr
607,33496285,dontcare
608,33529413,proukr
609,33681295,proukr
610,33911556,proukr
611,33958093,proukr
612,33960395,pax
613,34003315,proukr
614,34010230,proukr
615,34145948,proukr
616,34253730,pax
617,34328422,pax
618,34329149,proukr
619,34486293,pax
620,34662952,proukr
621,34771806,proukr
622,34858992,proukr
623,34874525,proukr
624,34881706,proukr
625,34919936,proukr
626,34960150,proukr
627,35084541,proukr
628,35093662,proukr
629,35152213,proukr
630,35216837,pax
631,35221796,proukr
632,35225142,pax
633,35255340,proukr
634,35255668,pax
635,35398088,proukr
636,35526494,proukr
637,35533492,proukr
638,35554815,proukr
639,35846837,pax
640,35898070,pax
641,36111440,pax
642,36270166,proukr
643,36411279,prorus
644,36473963,pax
645,36513063,proukr
646,36664223,pax
647,36706851,proukr
648,36710489,proukr
649,36758992,pax
650,36842122,proukr
651,36892510,proukr
652,37204163,dontcare
653,37206945,proukr
654,37253998,proukr
655,37270422,proukr
656,37325408,pax
657,37332624,proukr
658,37500052,pax
659,37558626,proukr
660,37609340,proukr
661,37698070,proukr
662,37720703,proukr
663,37724859,proukr
664,37755581,dontcare
665,37779837,proukr
666,37866989,proukr
667,37884137,pax
668,37922193,pax
669,37925286,prorus
670,37948589,proukr
671,38027987,pax
672,38049495,proukr
673,38133178,prorus
674,38165283,dontcare
675,38177456,proukr
676,38341062,proukr
677,38465196,pax
678,38477590,dontcare
679,38696196,proukr
680,38778123,proukr
681,38823728,pax
682,38950884,pax
683,39029722,pax
684,39076989,proukr
685,39118839,proukr
686,39282932,proukr
687,39337892,dontcare
688,39363347,proukr
689,39490436,pax
690,39524457,dontcare
691,39541878,proukr
692,39573154,pax
693,39710163,proukr
694,39780004,proukr
695,39808588,pax
696,39813977,proukr
697,39954366,proukr
698,40081743,pax
699,40249753,proukr
700,40275745,proukr
701,40360763,prorus
702,40406122,proukr
703,40439535,prorus
704,40487871,proukr
705,40570553,dontcare
706,40709756,proukr
707,41047519,proukr
708,41161995,proukr
709,41256091,pax
710,41316531,pax
711,41333934,proukr
712,41338900,proukr
713,41455396,prorus
714,41580725,proukr
715,41677598,pax
716,41700167,pax
717,41796306,proukr
718,41870140,pax
719,41929595,proukr
720,42247052,proukr
721,42441516,dontcare
722,42463513,proukr
723,42471578,pax
724,42598630,pax
725,42672436,pax
726,42829191,proukr
727,42834437,proukr
728,42910578,pax
729,42929376,proukr
730,42978665,proukr
731,43173254,proukr
732,43235064,proukr
733,43302081,proukr
734,43345762,proukr
735,43362509,proukr
736,43439034,proukr
737,43541194,pax
738,43750097,pax
739,43906902,proukr
740,43977694,pax
741,44168170,pax
742,44207644,proukr
743,44265306,proukr
744,44335874,proukr
745,44387316,proukr
746,44436320,proukr
747,44438054,prorus
748,44652413,proukr
749,44670257,proukr
750,44851811,proukr
751,45019540,proukr
752,45065461,prorus
753,45159239,proukr
754,45283825,dontcare
755,45473645,proukr
756,45487451,proukr
757,45642634,proukr
758,45643787,pax
759,45673524,dontcare
760,45691745,proukr
761,45788514,proukr
762,45874570,proukr
763,45879683,dontcare
764,45890260,proukr
765,45894815,proukr
766,46009904,proukr
767,46079029,proukr
768,46096501,proukr
769,46300449,proukr
770,46369866,proukr
771,46384399,pax
772,46478528,proukr
773,46542025,proukr
774,46667252,proukr
775,46739024,proukr
776,46827049,proukr
777,46828927,proukr
778,46841910,proukr
779,46868596,proukr
780,46928097,proukr
781,46980962,proukr
782,47072264,proukr
783,47096359,pax
784,47140171,proukr
785,47356091,pax
786,47429961,proukr
787,47485480,proukr
788,47517944,proukr
789,47733774,prorus
790,47733804,proukr
791,47743935,proukr
792,47840602,pax
793,47863230,pax
794,47891027,proukr
795,47927299,proukr
796,47993321,proukr
797,48000357,pax
798,48038499,prorus
799,48074103,proukr
800,48130874,proukr
801,48157323,prorus
802,48162456,proukr
803,48205970,proukr
804,48218452,proukr
805,48224749,proukr
806,48260520,proukr
807,48366616,proukr
808,48420155,proukr
809,48442917,proukr
810,48606241,proukr
811,48650713,proukr
812,48668822,pax
813,48779872,proukr
814,48877205,proukr
815,48928700,proukr
816,48959540,proukr
817,48992513,prorus
818,49138102,proukr
819,49169491,pax
820,49172161,proukr
821,49175397,proukr
822,49191742,proukr
823,49256882,proukr
824,49263611,proukr
825,49427517,pax
826,49447916,dontcare
827,49461561,proukr
828,49491544,proukr
829,49634069,proukr
830,49634690,proukr
831,49652959,proukr
832,49697422,prorus
833,49752279,pax
834,49784759,proukr
835,49848536,proukr
836,49990050,pax
837,50005040,dontcare
838,50015770,proukr
839,50081294,proukr
840,50102012,proukr
841,50207358,proukr
842,50217856,proukr
843,50276630,proukr
844,50355977,proukr
845,50477131,proukr
846,50484454,proukr
847,50553399,proukr
848,50602482,proukr
849,50615511,proukr
850,50645038,proukr
851,50648364,pax
852,50666280,prorus
853,50679245,proukr
854,50690761,proukr
855,50867079,proukr
856,50961964,proukr
857,51097151,dontcare
858,51109042,proukr
859,51196816,proukr
860,51213279,pax
861,51292461,proukr
862,51448900,proukr
863,51467779,proukr
864,51639017,proukr
865,51681604,proukr
866,51827732,proukr
867,51837775,dontcare
868,52079138,proukr
869,52151681,pax
870,52260914,proukr
871,52272558,pax
872,52379596,proukr
873,52400775,pax
874,52466536,proukr
875,52560479,dontcare
876,52610792,proukr
877,52761753,proukr
878,52763465,proukr
879,52914244,proukr
880,52990866,pax
881,53124750,dontcare
882,53166374,prorus
883,53179643,pax
884,53199373,proukr
885,53548130,proukr
886,53646835,pax
887,53807330,proukr
888,53817701,proukr
889,53966720,dontcare
890,53987235,proukr
891,54831377,proukr
892,54872964,dontcare
893,54999242,pax
894,55073553,pax
895,55081186,proukr
896,55104031,proukr
897,55119081,proukr
898,55181938,dontcare
899,55271791,dontcare
900,55277999,proukr
901,55387418,proukr
902,55396121,proukr
903,55420589,proukr
904,55592643,pax
905,55912694,proukr
906,56030702,prorus
907,56182209,proukr
908,56254011,prorus
909,56370885,proukr
910,56626997,proukr
911,56703451,proukr
912,56727283,proukr
913,56751272,proukr
914,56763156,pax
915,56798124,pax
916,57072321,proukr
917,57080128,proukr
918,57141757,proukr
919,57145506,proukr
920,57249301,proukr
921,57622123,proukr
922,57785323,proukr
923,57788007,proukr
924,57975537,proukr
925,57992091,proukr
926,58015438,proukr
927,58023906,proukr
928,58102624,proukr
929,58121578,proukr
930,58156915,proukr
931,58163887,proukr
932,58229249,proukr
933,58247771,pax
934,58281693,proukr
935,58290199,pax
936,58361723,proukr
937,58387390,proukr
938,58594493,pax
939,58605496,proukr
940,58763283,pax
941,58819354,proukr
942,59007923,pax
943,59012898,proukr
944,59266295,pax
945,59305661,pax
946,59379444,prorus
947,59427578,proukr
948,59476193,proukr
949,59515655,pax
950,59902604,pax
951,60290338,prorus
952,60399177,proukr
953,60474495,dontcare
954,60651296,proukr
955,60805938,proukr
956,60886623,prorus
957,60925423,pax
958,61104689,proukr
959,61272407,proukr
960,61292316,prorus
961,61319540,pax
962,61399101,proukr
963,61475018,proukr
964,61939378,dontcare
965,61987976,proukr
966,62514553,proukr
967,62529894,proukr
968,62694013,pax
969,62780040,proukr
970,62880951,proukr
971,63125168,proukr
972,63171997,proukr
973,63466488,proukr
974,63793432,pax
975,63958907,proukr
976,64035849,proukr
977,64076505,proukr
978,64195087,pax
979,64450084,prorus
980,64523172,proukr
981,64818227,proukr
982,64863181,proukr
983,65129573,pax
984,65168366,proukr
985,65314051,pax
986,65499719,prorus
987,65535162,proukr
988,65567458,proukr
989,65586117,proukr
990,65612538,pax
991,65617648,proukr
992,65618767,dontcare
993,65627319,proukr
994,65688606,proukr
995,65703629,pax
996,65729000,proukr
997,65850162,dontcare
998,66169191,proukr
999,66171696,proukr
1000,66498005,dontcare
1001,66574549,proukr
1002,66835789,proukr
1003,66897685,proukr
1004,67056272,proukr
1005,67100032,proukr
1006,67687099,proukr
1007,67826643,proukr
1008,67860334,pax
1009,68103383,proukr
1010,68384455,proukr
1011,68611629,proukr
1012,68680081,pax
1013,68859620,proukr
1014,68976443,proukr
1015,69097408,proukr
1016,69110423,dontcare
1017,69409043,prorus
1018,69558002,proukr
1019,69653030,proukr
1020,69730304,proukr
1021,70055480,proukr
1022,70442852,proukr
1023,70586345,proukr
1024,70771432,pax
1025,71069355,proukr
1026,71407686,dontcare
1027,71624044,proukr
1028,71761060,prorus
1029,71799995,proukr
1030,71936967,proukr
1031,72285277,proukr
1032,72325145,proukr
1033,72684950,proukr
1034,72852231,pax
1035,72886834,proukr
1036,73377501,pax
1037,73706121,proukr
1038,74178943,proukr
1039,74709552,dontcare
1040,74772716,proukr
1041,75077335,proukr
1042,75629232,proukr
1043,75794724,proukr
1044,75929738,proukr
1045,76337914,pax
1046,76565559,pax
1047,76774672,pax
1048,76941017,proukr
1049,76949254,proukr
1050,76963575,pax
1051,77009411,proukr
1052,77553106,proukr
1053,77634939,proukr
1054,77826056,proukr
1055,77973889,proukr
1056,78001994,pax
1057,78107726,proukr
1058,78444488,proukr
1059,78554747,proukr
1060,78635274,proukr
1061,78689880,proukr
1062,78739450,proukr
1063,78754634,proukr
1064,78889059,proukr
1065,78935467,proukr
1066,79067625,pax
1067,79201672,proukr
1068,79311103,pax
1069,79511997,proukr
1070,79742470,proukr
1071,79769567,proukr
1072,79794924,prorus
1073,80040157,proukr
1074,80076133,pax
1075,80149583,proukr
1076,80171880,proukr
1077,80372652,pax
1078,80398898,pax
1079,80737025,pax
1080,80796593,proukr
1081,80901413,proukr
1082,81035405,proukr
1083,81410922,pax
1084,81457290,proukr
1085,81560180,pax
1086,81637999,proukr
1087,81683371,pax
1088,82303843,proukr
1089,82491197,pax
1090,82766376,pax
1091,82894463,proukr
1092,82907797,proukr
1093,83069175,proukr
1094,83122507,proukr
1095,83198074,proukr
1096,83577637,proukr
1097,83674382,proukr
1098,83738760,proukr
1099,83756306,proukr
1100,83929915,proukr
1101,83967276,proukr
1102,84121539,proukr
1103,84304067,proukr
1104,84440104,proukr
1105,84450102,proukr
1106,84534682,proukr
1107,84535305,proukr
1108,84580374,pax
1109,84919437,proukr
1110,84925906,proukr
1111,85090936,pax
1112,85199704,proukr
1113,85283202,proukr
1114,85432715,prorus
1115,85950775,pax
1116,86168072,proukr
1117,86495239,dontcare
1118,87090179,proukr
1119,87119348,proukr
1120,87131920,proukr
1121,87250666,pax
1122,87555271,proukr
1123,87629219,proukr
1124,87832714,proukr
1125,88030799,pax
1126,88188974,proukr
1127,88251779,pax
1128,88252748,pax
1129,88490042,proukr
1130,88536821,dontcare
1131,88683186,dontcare
1132,88759671,proukr
1133,88869834,proukr
1134,88939583,dontcare
1135,89022039,proukr
1136,89219352,pax
1137,89319056,pax
1138,89431746,pax
1139,89541537,proukr
1140,89799352,proukr
1141,90007967,pax
1142,90085963,prorus
1143,90123499,proukr
1144,90133405,pax
1145,90283136,proukr
1146,90468301,proukr
1147,90492110,proukr
1148,90516952,proukr
1149,90761863,proukr
1150,90776175,pax
1151,90849769,proukr
1152,91109230,pax
1153,91166320,pax
1154,91176799,proukr
1155,91205744,pax
1156,91342907,proukr
1157,91463418,pax
1158,91887326,proukr
1159,92128054,proukr
1160,92149105,proukr
1161,92342478,pax
1162,92489760,proukr
1163,92762847,prorus
1164,92984487,proukr
1165,93025542,proukr
1166,93040337,proukr
1167,93558188,pax
1168,93666068,pax
1169,93957129,pax
1170,94457797,proukr
1171,94668695,proukr
1172,94678895,proukr
1173,94763524,proukr
1174,94839103,prorus
1175,94850156,proukr
1176,95218114,proukr
1177,95360702,pax
1178,95469408,prorus
1179,95624653,proukr
1180,95888742,dontcare
1181,95947849,proukr
1182,96074097,proukr
1183,96195153,prorus
1184,96288119,pax
1185,96363837,pax
1186,96447774,proukr
1187,96822790,proukr
1188,96882672,proukr
1189,96901528,proukr
1190,97067282,pax
1191,97286045,proukr
1192,97319768,proukr
1193,97492075,proukr
1194,97823437,dontcare
1195,97869040,proukr
1196,97931869,proukr
1197,97963505,pax
1198,98014441,proukr
1199,98693012,pax
1200,98903593,proukr
1201,99332835,prorus
1202,99339424,pax
1203,99408825,pax
1204,99579978,proukr
1205,100047143,proukr
1206,100340670,prorus
1207,100458487,proukr
1208,100469505,pax
1209,101061289,proukr
1210,101574964,proukr
1211,101621819,proukr
1212,101790434,proukr
1213,101944980,proukr
1214,102102479,proukr
1215,102134228,pax
1216,102350655,proukr
1217,102483198,proukr
1218,102810625,proukr
1219,102829449,prorus
1220,102871670,proukr
1221,102929461,proukr
1222,103066176,proukr
1223,103088894,proukr
1224,103365617,pax
1225,103402210,pax
1226,104636741,proukr
1227,104664862,proukr
1228,104669561,dontcare
1229,104887943,proukr
1230,105051697,proukr
1231,105189594,dontcare
1232,105435498,proukr
1233,105468938,dontcare
1234,105610777,proukr
1235,105774075,proukr
1236,105974378,pax
1237,106068828,dontcare
1238,106457836,proukr
1239,106515366,pax
1240,106927705,proukr
1241,107056278,proukr
1242,107391815,proukr
1243,107426979,proukr
1244,107460232,proukr
1245,107489106,proukr
1246,107563743,proukr
1247,107667199,proukr
1248,107729108,proukr
1249,107841911,pax
1250,107886768,proukr
1251,107956816,proukr
1252,108076414,proukr
1253,108266878,pax
1254,108393304,proukr
1255,108448305,proukr
1256,108556027,pax
1257,109276061,pax
1258,109378565,proukr
1259,109529786,proukr
1260,110014709,pax
1261,110185291,proukr
1262,110228223,proukr
1263,110281305,pax
1264,110460403,pax
1265,110525656,proukr
1266,110564264,proukr
1267,110855256,proukr
1268,110896713,proukr
1269,111348370,proukr
1270,112208209,proukr
1271,112653500,proukr
1272,112934639,proukr
1273,113008098,proukr
1274,113120160,proukr
1275,113328047,proukr
1276,113458391,proukr
1277,113516609,proukr
1278,113649490,pax
1279,113669819,proukr
1280,113753398,proukr
1281,113939273,proukr
1282,114232355,proukr
1283,114276046,proukr
1284,114355626,proukr
1285,114549208,proukr
1286,114873175,pax
1287,114888384,proukr
1288,115305113,proukr
1289,115308684,proukr
1290,115435833,proukr
1291,115538590,pax
1292,115638729,prorus
1293,115771812,proukr
1294,115991458,proukr
1295,116225202,proukr
1296,116234100,proukr
1297,116630205,dontcare
1298,116804978,pax
1299,117001251,proukr
1300,117252134,dontcare
1301,117717305,proukr
1302,118015925,proukr
1303,118156479,proukr
1304,118205842,pax
1305,118540886,proukr
1306,118752293,prorus
1307,118763955,dontcare
1308,118829905,proukr
1309,119001611,prorus
1310,119164489,pax
1311,119257994,dontcare
1312,119306489,prorus
1313,119322388,pax
1314,119725697,proukr
1315,120206634,proukr
1316,121197832,proukr
1317,121756913,dontcare
1318,121796575,proukr
1319,122146629,proukr
1320,122173354,dontcare
1321,122272305,proukr
1322,122351845,proukr
1323,122636052,pax
1324,122808422,proukr
1325,123102547,proukr
1326,123231777,proukr
1327,123287597,proukr
1328,123299151,pax
1329,123536206,prorus
1330,123614006,proukr
1331,124407681,pax
1332,124418131,proukr
1333,124418689,proukr
1334,124667938,proukr
1335,124903177,proukr
1336,125060856,proukr
1337,125070671,proukr
1338,125134257,dontcare
1339,125143408,pax
1340,125382032,proukr
1341,125441290,proukr
1342,125680551,dontcare
1343,125940569,proukr
1344,126129869,pax
1345,126203618,proukr
1346,126425769,proukr
1347,126899523,prorus
1348,127027996,dontcare
1349,127280796,pax
1350,127420382,proukr
1351,127624018,proukr
1352,127713752,pax
1353,127715745,pax
1354,127833097,proukr
1355,127848364,pax
1356,128162034,proukr
1357,128218580,proukr
1358,128336722,pax
1359,128493514,proukr
1360,128637146,proukr
1361,128763579,proukr
1362,129091518,proukr
1363,129157217,pax
1364,129286218,pax
1365,129555767,prorus
1366,129567596,proukr
1367,129582464,proukr
1368,129688907,pax
1369,129747756,proukr
1370,129774421,pax
1371,129933721,prorus
1372,129962101,proukr
1373,130081256,proukr
1374,130520787,dontcare
1375,130575478,proukr
1376,130586815,proukr
1377,130927779,pax
1378,131042172,proukr
1379,131056491,proukr
1380,131153704,proukr
