,cat_t0,cat_t1,cat_t2
16177690,pax,proukr,dontcare
16178962,prorus,proukr,dontcare
16201287,proukr,proukr,proukr
16211420,proukr,proukr,dontcare
16242277,proukr,proukr,proukr
16245971,proukr,proukr,dontcare
16256826,dontcare,dontcare,pax
16258315,proukr,proukr,proukr
16265229,proukr,dontcare,pax
16280127,proukr,dontcare,dontcare
16311161,pax,proukr,dontcare
16316179,proukr,proukr,proukr
16317768,proukr,proukr,dontcare
16337019,pax,proukr,dontcare
16362364,pax,dontcare,pax
16408207,pax,proukr,dontcare
16439224,proukr,proukr,proukr
16476911,proukr,dontcare,dontcare
16484910,proukr,dontcare,dontcare
16493125,pax,dontcare,dontcare
16503453,proukr,dontcare,pax
16505083,dontcare,proukr,proukr
16505411,proukr,proukr,dontcare
16523426,pax,proukr,dontcare
16620002,proukr,proukr,dontcare
16649251,proukr,dontcare,pax
16654294,proukr,proukr,dontcare
16668042,proukr,proukr,proukr
16702010,dontcare,proukr,dontcare
16709602,proukr,proukr,proukr
16715269,proukr,dontcare,pax
16716142,pax,dontcare,pax
16719914,proukr,proukr,proukr
16726866,prorus,proukr,dontcare
16744260,proukr,proukr,dontcare
16790655,proukr,proukr,proukr
16805438,proukr,dontcare,pax
16849114,pax,proukr,proukr
16867563,proukr,proukr,dontcare
16905638,pax,proukr,proukr
16909343,proukr,proukr,dontcare
16917772,prorus,proukr,dontcare
16938726,proukr,proukr,proukr
16945095,proukr,dontcare,pax
16946848,pax,proukr,proukr
16967028,proukr,proukr,dontcare
16969385,pax,dontcare,pax
16985474,proukr,dontcare,pax
16996245,pax,proukr,proukr
17001893,dontcare,dontcare,pax
17002648,proukr,dontcare,pax
17012173,pax,proukr,proukr
17027632,prorus,dontcare,pax
17031934,proukr,proukr,dontcare
17057683,proukr,proukr,dontcare
17113333,pax,proukr,dontcare
17142825,proukr,proukr,proukr
17166900,pax,dontcare,pax
17168496,proukr,proukr,proukr
17178342,prorus,proukr,dontcare
17204460,dontcare,proukr,dontcare
17217502,proukr,proukr,proukr
17238730,pax,dontcare,dontcare
17238979,proukr,dontcare,pax
17240376,proukr,dontcare,pax
17290000,proukr,dontcare,pax
17302067,proukr,proukr,dontcare
17303858,proukr,proukr,dontcare
17311081,pax,proukr,dontcare
17342027,proukr,proukr,dontcare
17378581,proukr,dontcare,pax
17418011,proukr,proukr,dontcare
17439850,proukr,proukr,dontcare
17444647,proukr,dontcare,pax
17452552,proukr,dontcare,pax
17471611,proukr,proukr,proukr
17509107,pax,dontcare,dontcare
17537020,proukr,proukr,proukr
17561023,proukr,proukr,proukr
17569440,proukr,proukr,proukr
17612969,pax,proukr,dontcare
17647289,proukr,proukr,dontcare
17652526,proukr,proukr,dontcare
17656886,proukr,dontcare,pax
17686959,proukr,proukr,dontcare
17691427,proukr,dontcare,pax
17734639,dontcare,proukr,dontcare
17741346,proukr,proukr,proukr
17746695,pax,dontcare,pax
17751072,proukr,proukr,dontcare
17755700,pax,dontcare,pax
17797650,proukr,dontcare,pax
17810707,proukr,proukr,dontcare
17822006,proukr,dontcare,pax
17908607,proukr,proukr,dontcare
17954631,proukr,proukr,proukr
17961813,proukr,dontcare,pax
17972974,proukr,proukr,dontcare
18002731,prorus,dontcare,pax
18029310,proukr,proukr,dontcare
18033503,pax,dontcare,pax
18037002,proukr,proukr,proukr
18058085,proukr,dontcare,pax
18060010,proukr,dontcare,pax
18080347,proukr,proukr,dontcare
18109429,pax,proukr,proukr
18195001,pax,proukr,dontcare
18197948,proukr,dontcare,pax
18203422,pax,proukr,dontcare
18244332,proukr,proukr,dontcare
18272853,proukr,dontcare,pax
18302410,pax,proukr,dontcare
18348346,proukr,proukr,dontcare
18359715,proukr,proukr,dontcare
18379358,pax,dontcare,pax
18427567,prorus,dontcare,pax
18471312,proukr,proukr,dontcare
18481086,pax,proukr,dontcare
18495916,proukr,proukr,dontcare
18514141,proukr,proukr,dontcare
18530932,proukr,proukr,dontcare
18540174,pax,proukr,dontcare
18542632,prorus,dontcare,pax
18583397,proukr,dontcare,pax
18600732,prorus,dontcare,pax
18604202,dontcare,proukr,dontcare
18684946,proukr,proukr,dontcare
18685355,proukr,proukr,dontcare
18725885,prorus,proukr,dontcare
18811949,proukr,dontcare,pax
18838712,proukr,proukr,proukr
18846717,pax,proukr,proukr
18868110,proukr,proukr,dontcare
18895019,pax,dontcare,pax
18954472,proukr,proukr,proukr
19051983,proukr,proukr,proukr
19077019,dontcare,proukr,proukr
19081489,proukr,proukr,dontcare
19088288,proukr,proukr,dontcare
19121806,proukr,proukr,dontcare
19162910,pax,proukr,dontcare
19170412,proukr,proukr,dontcare
19181564,pax,dontcare,pax
19214412,proukr,dontcare,pax
19231073,proukr,dontcare,pax
19238527,proukr,dontcare,pax
19284888,proukr,proukr,dontcare
19335456,proukr,proukr,dontcare
19386774,pax,dontcare,pax
19399022,proukr,proukr,dontcare
19409634,proukr,dontcare,dontcare
19418649,proukr,dontcare,pax
19440391,proukr,proukr,dontcare
19449143,proukr,proukr,dontcare
19465759,proukr,proukr,dontcare
19492635,proukr,dontcare,pax
19608199,proukr,dontcare,pax
19654085,dontcare,proukr,dontcare
19734438,proukr,proukr,dontcare
19735514,pax,proukr,dontcare
19762424,dontcare,dontcare,pax
19765553,dontcare,proukr,dontcare
19805682,proukr,proukr,proukr
19816563,proukr,proukr,dontcare
19819827,proukr,dontcare,pax
19830107,proukr,proukr,proukr
19868130,proukr,dontcare,dontcare
19907134,dontcare,proukr,dontcare
19919876,pax,proukr,proukr
19968144,proukr,dontcare,pax
19971109,proukr,proukr,dontcare
20031049,pax,proukr,dontcare
20054932,proukr,proukr,dontcare
20061929,proukr,proukr,dontcare
20095305,pax,proukr,dontcare
20104862,proukr,proukr,dontcare
20149325,proukr,proukr,proukr
20157199,proukr,dontcare,pax
20185144,proukr,proukr,proukr
20255638,proukr,dontcare,pax
20263955,proukr,proukr,proukr
20311009,proukr,dontcare,pax
20314692,pax,proukr,dontcare
20340604,pax,proukr,dontcare
20423769,proukr,proukr,dontcare
20466226,proukr,dontcare,dontcare
20471224,dontcare,proukr,dontcare
20473964,proukr,proukr,dontcare
20476235,proukr,dontcare,pax
20478618,prorus,proukr,dontcare
20479891,pax,proukr,dontcare
20488455,pax,proukr,dontcare
20509794,dontcare,proukr,proukr
20565828,proukr,dontcare,pax
20587289,pax,proukr,dontcare
20624058,proukr,dontcare,pax
20646382,proukr,dontcare,dontcare
20697111,proukr,dontcare,pax
20728264,proukr,dontcare,dontcare
20768602,proukr,proukr,dontcare
20770251,pax,dontcare,pax
20796457,pax,proukr,proukr
20836265,proukr,dontcare,pax
20862590,proukr,proukr,proukr
20895558,proukr,proukr,proukr
20911915,proukr,proukr,proukr
20919324,proukr,proukr,proukr
20964739,dontcare,proukr,dontcare
20993014,proukr,proukr,proukr
21015322,proukr,dontcare,pax
21036796,proukr,proukr,dontcare
21186562,proukr,proukr,dontcare
21218734,proukr,proukr,dontcare
21257603,proukr,proukr,dontcare
21349439,pax,proukr,dontcare
21430872,pax,proukr,dontcare
21445423,proukr,proukr,dontcare
21458404,proukr,dontcare,pax
21474305,proukr,dontcare,pax
21483883,proukr,dontcare,pax
21495530,pax,proukr,dontcare
21551984,proukr,proukr,dontcare
21567649,proukr,proukr,proukr
21581640,proukr,dontcare,pax
21610128,prorus,proukr,dontcare
21657066,proukr,proukr,proukr
21679538,pax,dontcare,pax
21691327,proukr,proukr,dontcare
21694393,proukr,proukr,dontcare
21697689,proukr,proukr,proukr
21754958,prorus,proukr,proukr
21764166,proukr,proukr,proukr
21799910,pax,proukr,dontcare
21839925,pax,proukr,proukr
21883255,proukr,dontcare,dontcare
21884679,proukr,dontcare,pax
21926764,pax,dontcare,pax
21930807,proukr,proukr,dontcare
21943486,proukr,proukr,proukr
22019015,proukr,proukr,dontcare
22041669,pax,proukr,proukr
22064251,proukr,dontcare,pax
22075159,proukr,proukr,proukr
22108226,proukr,proukr,proukr
22149904,prorus,proukr,dontcare
22222414,dontcare,proukr,proukr
22274126,proukr,proukr,dontcare
22307579,pax,proukr,dontcare
22313958,pax,proukr,dontcare
22330313,proukr,proukr,dontcare
22344938,proukr,proukr,proukr
22365812,pax,proukr,dontcare
22388211,proukr,proukr,dontcare
22407417,proukr,proukr,dontcare
22417080,proukr,dontcare,pax
22439048,prorus,proukr,dontcare
22505527,proukr,proukr,dontcare
22518618,proukr,proukr,dontcare
22531716,proukr,dontcare,pax
22539487,prorus,dontcare,pax
22555523,proukr,dontcare,pax
22631085,proukr,dontcare,pax
22647819,proukr,proukr,proukr
22648912,proukr,proukr,proukr
22659416,prorus,proukr,dontcare
22707692,pax,proukr,dontcare
22773951,proukr,proukr,dontcare
22797431,proukr,proukr,dontcare
22801237,proukr,dontcare,pax
22803269,proukr,dontcare,pax
22818501,proukr,dontcare,pax
22831232,proukr,proukr,dontcare
22846618,proukr,proukr,dontcare
22858466,proukr,dontcare,dontcare
22875032,proukr,dontcare,pax
22881550,proukr,proukr,dontcare
22885743,proukr,proukr,proukr
22886404,proukr,proukr,proukr
22899379,proukr,dontcare,dontcare
22937640,proukr,proukr,proukr
22996614,proukr,proukr,dontcare
23048760,proukr,dontcare,pax
23102114,pax,proukr,dontcare
23118582,proukr,proukr,dontcare
23123835,prorus,proukr,proukr
23185764,proukr,dontcare,dontcare
23231174,proukr,proukr,dontcare
23238859,proukr,proukr,proukr
23284066,pax,dontcare,dontcare
23429613,proukr,proukr,dontcare
23433087,proukr,dontcare,pax
23459423,proukr,proukr,proukr
23506717,proukr,dontcare,pax
23574334,proukr,proukr,proukr
23575409,prorus,proukr,dontcare
23647466,proukr,proukr,proukr
23648881,proukr,proukr,dontcare
23676043,pax,proukr,dontcare
23685118,proukr,proukr,dontcare
23709095,pax,proukr,dontcare
23763190,proukr,proukr,proukr
23864422,proukr,proukr,dontcare
23871907,proukr,proukr,dontcare
23878825,dontcare,proukr,dontcare
23885166,proukr,proukr,proukr
23930673,proukr,proukr,dontcare
23937235,proukr,proukr,dontcare
23996107,proukr,proukr,dontcare
24021806,proukr,dontcare,pax
24040718,proukr,proukr,proukr
24056744,pax,dontcare,pax
24069742,pax,proukr,dontcare
24182196,proukr,proukr,dontcare
24196746,proukr,proukr,proukr
24224086,proukr,proukr,dontcare
24227450,dontcare,dontcare,pax
24235281,pax,dontcare,pax
24237749,proukr,proukr,proukr
24260706,pax,dontcare,pax
24291857,pax,dontcare,dontcare
24296541,prorus,proukr,dontcare
24346486,proukr,proukr,dontcare
24403753,proukr,proukr,dontcare
24516826,proukr,proukr,proukr
24606381,proukr,proukr,proukr
24639503,dontcare,proukr,proukr
24692175,pax,proukr,dontcare
24735229,proukr,dontcare,pax
24745185,proukr,proukr,proukr
24791810,proukr,dontcare,pax
24802603,pax,proukr,proukr
24866195,proukr,dontcare,pax
24867383,proukr,dontcare,pax
24880295,proukr,proukr,dontcare
24882986,proukr,dontcare,pax
24912288,proukr,proukr,dontcare
24974998,pax,proukr,proukr
25065466,pax,proukr,proukr
25113881,proukr,proukr,proukr
25197788,proukr,proukr,dontcare
25210758,proukr,dontcare,pax
25268373,proukr,dontcare,pax
25323909,proukr,dontcare,dontcare
25353226,proukr,proukr,dontcare
25398204,proukr,dontcare,pax
25413947,proukr,dontcare,dontcare
25470319,proukr,proukr,dontcare
25499975,pax,proukr,dontcare
25520577,proukr,dontcare,dontcare
25554266,pax,dontcare,pax
25571567,proukr,dontcare,pax
25661441,prorus,dontcare,pax
25682196,pax,proukr,dontcare
25706772,pax,proukr,dontcare
25714189,pax,proukr,dontcare
25735821,proukr,dontcare,pax
25764782,prorus,proukr,dontcare
25781702,proukr,proukr,dontcare
25785889,proukr,proukr,proukr
25816723,proukr,dontcare,pax
25896141,proukr,proukr,dontcare
26020832,pax,dontcare,pax
26071765,proukr,dontcare,pax
26122014,proukr,proukr,proukr
26231140,proukr,proukr,dontcare
26261563,proukr,proukr,proukr
26284165,pax,dontcare,pax
26335316,proukr,proukr,proukr
26379026,dontcare,proukr,dontcare
26443215,proukr,proukr,dontcare
26513017,pax,dontcare,pax
26555873,prorus,proukr,proukr
26613501,dontcare,proukr,proukr
26673789,pax,proukr,dontcare
26733146,proukr,dontcare,dontcare
26748382,proukr,proukr,dontcare
26822945,proukr,proukr,dontcare
26901657,dontcare,proukr,dontcare
26945850,proukr,dontcare,dontcare
26994187,proukr,proukr,dontcare
27052060,proukr,proukr,dontcare
27182393,proukr,proukr,dontcare
27189424,pax,proukr,dontcare
27271665,pax,proukr,dontcare
27379130,dontcare,proukr,dontcare
27399921,proukr,proukr,proukr
27493883,proukr,proukr,dontcare
27632768,proukr,proukr,dontcare
27635954,proukr,dontcare,pax
27677391,dontcare,dontcare,pax
27727171,proukr,proukr,proukr
27777747,dontcare,proukr,dontcare
27819475,proukr,proukr,dontcare
27857135,proukr,dontcare,pax
27873469,pax,dontcare,pax
27896225,proukr,dontcare,dontcare
27937260,proukr,dontcare,dontcare
28089569,proukr,proukr,dontcare
28097613,proukr,proukr,dontcare
28106696,proukr,proukr,dontcare
28186041,proukr,proukr,proukr
28278888,proukr,proukr,dontcare
28427434,proukr,proukr,dontcare
28437034,proukr,dontcare,dontcare
28499318,proukr,proukr,dontcare
28549662,proukr,proukr,dontcare
28595549,proukr,proukr,proukr
28605143,proukr,proukr,dontcare
28673553,proukr,proukr,dontcare
28803986,proukr,proukr,dontcare
28817015,proukr,proukr,proukr
28824105,proukr,dontcare,pax
28830796,dontcare,dontcare,pax
28861604,proukr,proukr,dontcare
28912098,proukr,dontcare,dontcare
28912519,proukr,dontcare,pax
29019934,proukr,dontcare,pax
29037126,proukr,dontcare,pax
29083775,pax,proukr,dontcare
29170877,proukr,proukr,dontcare
29286367,pax,proukr,dontcare
29421688,pax,dontcare,pax
29728444,dontcare,proukr,dontcare
29744014,proukr,proukr,dontcare
29747246,proukr,proukr,dontcare
29875219,proukr,proukr,dontcare
29973860,proukr,proukr,dontcare
30030404,pax,proukr,dontcare
30071264,proukr,proukr,dontcare
30095294,proukr,proukr,proukr
30112633,prorus,proukr,dontcare
30119049,proukr,proukr,proukr
30205322,proukr,proukr,dontcare
30212310,proukr,proukr,dontcare
30268206,pax,proukr,dontcare
30294619,proukr,proukr,dontcare
30423511,proukr,proukr,dontcare
30447502,pax,proukr,proukr
30488835,proukr,proukr,proukr
30498550,proukr,proukr,dontcare
30528686,proukr,proukr,proukr
30585720,proukr,dontcare,pax
30586620,proukr,proukr,proukr
30719754,proukr,proukr,dontcare
30722585,proukr,dontcare,dontcare
30779596,pax,proukr,dontcare
30842039,dontcare,proukr,dontcare
30874173,proukr,proukr,dontcare
30892621,pax,proukr,dontcare
30921004,proukr,dontcare,pax
30923981,prorus,proukr,dontcare
30975246,pax,proukr,dontcare
31077930,proukr,proukr,proukr
31097817,pax,proukr,dontcare
31140265,proukr,dontcare,dontcare
31264273,proukr,dontcare,pax
31300038,proukr,proukr,dontcare
31342932,proukr,proukr,dontcare
31442310,proukr,proukr,dontcare
31451307,proukr,proukr,dontcare
31569066,proukr,proukr,proukr
31698478,prorus,dontcare,pax
31771149,proukr,dontcare,dontcare
31949738,pax,proukr,dontcare
31994671,pax,dontcare,pax
32165709,proukr,dontcare,pax
32206125,proukr,dontcare,pax
32273235,proukr,dontcare,pax
32326358,pax,proukr,dontcare
32382705,pax,proukr,dontcare
32399655,proukr,proukr,dontcare
32409320,proukr,proukr,dontcare
32417688,proukr,proukr,dontcare
32539175,proukr,proukr,dontcare
32640164,proukr,dontcare,pax
32672078,pax,dontcare,dontcare
32747056,pax,dontcare,pax
32750042,proukr,proukr,dontcare
32768450,proukr,proukr,dontcare
32826334,pax,proukr,dontcare
32826520,pax,proukr,dontcare
32839217,proukr,proukr,proukr
32850576,proukr,proukr,dontcare
32894225,dontcare,dontcare,pax
32920518,proukr,proukr,proukr
32935077,proukr,dontcare,pax
33175033,prorus,proukr,proukr
33221250,proukr,dontcare,dontcare
33243589,pax,proukr,dontcare
33265297,proukr,proukr,proukr
33365734,proukr,proukr,dontcare
33378910,proukr,dontcare,pax
33418037,proukr,dontcare,pax
33496285,dontcare,proukr,dontcare
33529413,proukr,proukr,dontcare
33681295,proukr,dontcare,pax
33911556,proukr,dontcare,pax
33958093,proukr,proukr,dontcare
33960395,pax,dontcare,pax
34003315,proukr,proukr,dontcare
34010230,proukr,proukr,proukr
34145948,proukr,proukr,dontcare
34253730,pax,dontcare,pax
34328422,pax,dontcare,pax
34329149,proukr,dontcare,pax
34486293,pax,proukr,proukr
34662952,proukr,dontcare,dontcare
34771806,proukr,dontcare,pax
34858992,proukr,proukr,dontcare
34874525,proukr,proukr,dontcare
34881706,proukr,proukr,dontcare
34919936,proukr,proukr,proukr
34960150,proukr,dontcare,pax
35084541,proukr,proukr,proukr
35093662,proukr,proukr,dontcare
35152213,proukr,proukr,dontcare
35216837,pax,proukr,dontcare
35221796,proukr,dontcare,pax
35225142,pax,proukr,dontcare
35255340,proukr,proukr,proukr
35255668,pax,proukr,proukr
35398088,proukr,proukr,dontcare
35526494,proukr,proukr,proukr
35533492,proukr,dontcare,pax
35554815,proukr,proukr,dontcare
35846837,pax,proukr,dontcare
35898070,pax,proukr,dontcare
36111440,pax,proukr,dontcare
36270166,proukr,dontcare,pax
36411279,prorus,proukr,proukr
36473963,pax,dontcare,pax
36513063,proukr,proukr,dontcare
36664223,pax,dontcare,pax
36706851,proukr,proukr,dontcare
36710489,proukr,proukr,dontcare
36758992,pax,proukr,dontcare
36842122,proukr,dontcare,dontcare
36892510,proukr,dontcare,pax
37204163,dontcare,dontcare,pax
37206945,proukr,proukr,dontcare
37253998,proukr,dontcare,pax
37270422,proukr,dontcare,pax
37325408,pax,dontcare,dontcare
37332624,proukr,proukr,dontcare
37500052,pax,proukr,proukr
37558626,proukr,proukr,dontcare
37609340,proukr,proukr,dontcare
37698070,proukr,proukr,dontcare
37720703,proukr,dontcare,pax
37724859,proukr,proukr,dontcare
37755581,dontcare,proukr,dontcare
37779837,proukr,proukr,dontcare
37866989,proukr,dontcare,pax
37884137,pax,dontcare,pax
37922193,pax,proukr,dontcare
37925286,prorus,dontcare,pax
37948589,proukr,dontcare,pax
38027987,pax,proukr,dontcare
38049495,proukr,proukr,proukr
38133178,prorus,proukr,dontcare
38165283,dontcare,proukr,dontcare
38177456,proukr,dontcare,dontcare
38341062,proukr,dontcare,dontcare
38465196,pax,dontcare,pax
38477590,dontcare,proukr,dontcare
38696196,proukr,proukr,proukr
38778123,proukr,proukr,proukr
38823728,pax,proukr,dontcare
38950884,pax,proukr,proukr
39029722,pax,dontcare,pax
39076989,proukr,proukr,dontcare
39118839,proukr,proukr,dontcare
39282932,proukr,proukr,dontcare
39337892,dontcare,proukr,dontcare
39363347,proukr,proukr,dontcare
39490436,pax,dontcare,pax
39524457,dontcare,proukr,proukr
39541878,proukr,proukr,dontcare
39573154,pax,proukr,proukr
39710163,proukr,dontcare,pax
39780004,proukr,proukr,dontcare
39808588,pax,dontcare,pax
39813977,proukr,proukr,dontcare
39954366,proukr,proukr,dontcare
40081743,pax,proukr,dontcare
40249753,proukr,dontcare,dontcare
40275745,proukr,dontcare,pax
40360763,prorus,proukr,dontcare
40406122,proukr,dontcare,pax
40439535,prorus,dontcare,pax
40487871,proukr,dontcare,pax
40570553,dontcare,dontcare,pax
40709756,proukr,dontcare,pax
41047519,proukr,proukr,proukr
41161995,proukr,proukr,proukr
41256091,pax,proukr,dontcare
41316531,pax,dontcare,pax
41333934,proukr,proukr,proukr
41338900,proukr,proukr,dontcare
41455396,prorus,dontcare,pax
41580725,proukr,proukr,proukr
41677598,pax,dontcare,pax
41700167,pax,dontcare,pax
41796306,proukr,proukr,dontcare
41870140,pax,proukr,dontcare
41929595,proukr,dontcare,pax
42247052,proukr,proukr,dontcare
42441516,dontcare,proukr,dontcare
42463513,proukr,dontcare,pax
42471578,pax,dontcare,pax
42598630,pax,proukr,dontcare
42672436,pax,proukr,dontcare
42829191,proukr,proukr,dontcare
42834437,proukr,proukr,dontcare
42910578,pax,proukr,dontcare
42929376,proukr,dontcare,pax
42978665,proukr,dontcare,pax
43173254,proukr,proukr,dontcare
43235064,proukr,proukr,proukr
43302081,proukr,proukr,dontcare
43345762,proukr,proukr,dontcare
43362509,proukr,proukr,dontcare
43439034,proukr,dontcare,pax
43541194,pax,proukr,dontcare
43750097,pax,dontcare,pax
43906902,proukr,proukr,proukr
43977694,pax,dontcare,pax
44168170,pax,proukr,proukr
44207644,proukr,dontcare,pax
44265306,proukr,dontcare,pax
44335874,proukr,proukr,dontcare
44387316,proukr,dontcare,pax
44436320,proukr,dontcare,pax
44438054,prorus,dontcare,pax
44652413,proukr,proukr,proukr
44670257,proukr,proukr,dontcare
44851811,proukr,proukr,dontcare
45019540,proukr,dontcare,pax
45065461,prorus,proukr,dontcare
45159239,proukr,dontcare,pax
45283825,dontcare,proukr,dontcare
45473645,proukr,proukr,dontcare
45487451,proukr,proukr,proukr
45642634,proukr,dontcare,pax
45643787,pax,proukr,proukr
45673524,dontcare,dontcare,pax
45691745,proukr,dontcare,pax
45788514,proukr,dontcare,pax
45874570,proukr,proukr,dontcare
45879683,dontcare,dontcare,pax
45890260,proukr,proukr,dontcare
45894815,proukr,dontcare,pax
46009904,proukr,dontcare,pax
46079029,proukr,proukr,dontcare
46096501,proukr,proukr,dontcare
46300449,proukr,proukr,dontcare
46369866,proukr,dontcare,pax
46384399,pax,proukr,dontcare
46478528,proukr,proukr,proukr
46542025,proukr,dontcare,pax
46667252,proukr,proukr,proukr
46739024,proukr,dontcare,pax
46827049,proukr,proukr,dontcare
46828927,proukr,dontcare,pax
46841910,proukr,proukr,proukr
46868596,proukr,proukr,dontcare
46928097,proukr,dontcare,pax
46980962,proukr,proukr,dontcare
47072264,proukr,proukr,dontcare
47096359,pax,proukr,dontcare
47140171,proukr,dontcare,pax
47356091,pax,proukr,proukr
47429961,proukr,proukr,dontcare
47485480,proukr,dontcare,pax
47517944,proukr,dontcare,pax
47733774,prorus,proukr,dontcare
47733804,proukr,proukr,dontcare
47743935,proukr,proukr,dontcare
47840602,pax,proukr,dontcare
47863230,pax,proukr,proukr
47891027,proukr,proukr,dontcare
47927299,proukr,dontcare,pax
47993321,proukr,dontcare,pax
48000357,pax,dontcare,pax
48038499,prorus,proukr,dontcare
48074103,proukr,dontcare,pax
48130874,proukr,dontcare,pax
48157323,prorus,dontcare,pax
48162456,proukr,proukr,dontcare
48205970,proukr,dontcare,pax
48218452,proukr,proukr,dontcare
48224749,proukr,proukr,dontcare
48260520,proukr,proukr,dontcare
48366616,proukr,proukr,dontcare
48420155,proukr,proukr,proukr
48442917,proukr,dontcare,pax
48606241,proukr,dontcare,pax
48650713,proukr,proukr,dontcare
48668822,pax,proukr,dontcare
48779872,proukr,dontcare,pax
48877205,proukr,dontcare,pax
48928700,proukr,proukr,proukr
48959540,proukr,dontcare,pax
48992513,prorus,dontcare,pax
49138102,proukr,dontcare,dontcare
49169491,pax,proukr,dontcare
49172161,proukr,dontcare,pax
49175397,proukr,proukr,dontcare
49191742,proukr,proukr,dontcare
49256882,proukr,proukr,dontcare
49263611,proukr,proukr,proukr
49427517,pax,proukr,proukr
49447916,dontcare,proukr,dontcare
49461561,proukr,proukr,dontcare
49491544,proukr,dontcare,pax
49634069,proukr,proukr,dontcare
49634690,proukr,proukr,dontcare
49652959,proukr,proukr,dontcare
49697422,prorus,dontcare,pax
49752279,pax,proukr,dontcare
49784759,proukr,proukr,dontcare
49848536,proukr,proukr,dontcare
49990050,pax,dontcare,dontcare
50005040,dontcare,proukr,dontcare
50015770,proukr,dontcare,pax
50081294,proukr,dontcare,pax
50102012,proukr,proukr,dontcare
50207358,proukr,proukr,dontcare
50217856,proukr,proukr,dontcare
50276630,proukr,proukr,dontcare
50355977,proukr,proukr,dontcare
50477131,proukr,proukr,proukr
50484454,proukr,proukr,proukr
50553399,proukr,proukr,dontcare
50602482,proukr,proukr,dontcare
